borne,viteza,nume,fir,r_start,r_end,linie
"8+600
8+650",30,"St. Chitila
Cap X, peste sch. 1",1,8.6,8.65,300
"164+200
164+500",30,"St. Dârste
linia 3 directă",1,164.2,164.5,300
"169+400
169+600",15,St. Braşov,1,169.4,169.6,300
"169+864
183+045",50,"Ax st. Brașov -
Ax st. Bod",1,169.864,183.045,300
"179+020
179+120",30,"Stupini -
Bod",1,179.02,179.12,300
"188+190
190+500",30,"Bod –
Feldioara",1,188.19,190.5,300
"194+600
194+650",50,"Feldioara –
Apaţa",1,194.6,194.65,300
"196+300
207+200",50,"Feldioara -
Apaţa",1,196.3,207.2,300
"207+700
208+600",50,"Apața - 
Augustin
și linia 3 directă
st. Apaţa",1,207.7,208.6,300
"208+600
209+100",30,"Apaţa -
Augustin",1,208.6,209.1,300
"209+100
211+500",50,"Apaţa -
Augustin",1,209.1,211.5,300
"213+700
216+100",50,"Apaţa -
Augustin",1,213.7,216.1,300
"216+100
217+300",30,"Apaţa -
Augustin",1,216.1,217.3,300
"217+300
218+700",50,"Apaţa -
Augustin",1,217.3,218.7,300
"243+900
244+000",30,"Racoş -
Rupea",1,243.9,244,300
"244+000
245+200",50,"St. Rupea
linia 4 directă",1,244,245.2,300
"245+000
245+100",50,"Rupea -
Caţa",1,245,245.1,300
"252+700
254+400",50,"St. Cața 
linia 3 directă și 
Caţa -
Beia",1,252.7,254.4,300
"257+500
257+600",50,"Cața -
Beia",1,257.5,257.6,300
"288+300
288+574",70,"St. Vânători
linia 2 directă",1,288.3,288.574,300
"297+500
297+700",50,"Albeşti Tîrnava -
Sighişoara",1,297.5,297.7,300
"297+500
299+177",50,"Albeşti Tîrnava -
Sighişoara
și linia 3 directă 
st. Sighișoara",1,297.5,299.177,300
"308+450
315+650",120,"Daneș -
Dumbrăveni",1,308.45,315.65,300
"324+100
330+350",120,"Dumbrăveni -
Mediaș",1,324.1,330.35,300
"334+594
344+905",120,"Ax st. Mediaș -
Ax st. Copșa Mică",1,334.594,344.905,300
"347+300
352+400",120,"Copşa Mică -
Valea Lungă",1,347.3,352.4,300
"399+623
412+700",80,"Ax st. Teiuş -
Ax st. Aiud",1,399.623,412.7,300
"408+750
408+800",20,"Teiuş -
Aiud",1,408.75,408.8,300
"411+500
413+700",50,"Teiuş -
Aiud
şi linia 4 directă
St. Aiud ",1,411.5,413.7,300
"425+900
427+300",30,"St. Unirea
linia 3 directă",1,425.9,427.3,300
"467+800
469+200",30,"Valea Florilor -
Boju",1,467.8,469.2,300
"616+875
616+925",30,"Vadu Crişului -
Aleşd",1,616.875,616.925,300
"169+400
169+600",15,"Semnalizată ca limitare de viteză.
Fără inductori.
Afectează intrări - ieşiri la liniile 3 - 8 Cap X.",2,169.4,169.6,300
"169+525
169+610",15,"Nesemnalizată pe teren.
Afectează intrări - ieşiri la liniile 1 - 3 Cap X.",2,169.525,169.61,300
