borne,viteza,nume,fir,r_start,r_end,linie
"39+470
39+775",30,"Târguşor Dobrogea -
Cogealac",1,39.47,39.775,812
"62+375
62+425",50,"Cogealac –
Mihai Viteazu",1,62.375,62.425,812
"107+325
107+375",30,"Babadag -
Cataloi",1,107.325,107.375,812
"110+540
110+640",15,"Babadag -
Cataloi",1,110.54,110.64,812
"122+275
122+375",30,"Babadag -
Cataloi",1,122.275,122.375,812
"126+750
126+850",30,"Babadag -
Cataloi",1,126.75,126.85,812
"130+800
131+000",30,"Cataloi -
Tulcea Mărfuri",1,130.8,131,812
"133+000
133+800",30,"Cataloi -
Tulcea Mărfuri",1,133,133.8,812
"134+700
135+500",30,"Cataloi -
Tulcea Mărfuri",1,134.7,135.5,812
firul III,NA,"între sch. 
26 şi 28 
şi 
peste sch. 26       în abatere",1,NA,NA,813
firul III,NA,"peste 
sch. 14 
în abatere",1,NA,NA,813
"0+000
2+272",20,"Agigea Nord - 
Constanța Port Zona C
(linia COMVEX)",1,0,2.272,813
"245+070
245+120",15,"Eforie Sud -
Costineşti",1,245.07,245.12,813
"250+500
250+550",30,"St. Costineşti
linia 2 directă Cap X",1,250.5,250.55,813
"0+000
2+146",20,Nesemnalizată pe teren.,2,0,2.146,813
"0+000
1+000",15,"Agigea Ecluză -
Agigea Sud",1,0,1,813 A
"1+000
2+000",5,"St. Agigea Sud
linia 3 directă, 
de la schimbătorul numărul 1 
la schimbătorul numărul FN 15",1,1,2,813 A
"1+000
13+300",30,"Dorobanțu -
Nazarcea -
Năvodari",1,1,13.3,817
"13+300
18+000",15,"Nazarcea -
Năvodari",1,13.3,18,817
"18+000
25+850",30,"Nazarcea - 
Năvodari 
și linia 4 directă 
st. Năvodari",1,18,25.85,817
"25+850
27+450",30,"Năvodari -
Cap Midia",1,25.85,27.45,817
"31+680
32+500",30,"Năvodari -
Cap Midia",1,31.68,32.5,817
"32+050
32+900",15,"St. Cap Midia
între sch. 3 - 51",1,32.05,32.9,817
"25+850
32+500",30,Semnalizată ca limitare de viteză.,2,25.85,32.5,817
"32+150
32+850",15,Nesemnalizată pe teren.,2,32.15,32.85,817
"0+100
0+900",15,"P1 Cap Midia –
P2 Cap Midia",1,0.1,0.9,817 A
"0+600
1+700",15,"Palas -
Constanţa Mărfuri",1,0.6,1.7,818
"12+400
17+600",15,Fără inductori.,2,12.4,17.6,818
"22+300
25+850",30,Semnalizată ca limitare de viteză.,2,22.3,25.85,818
